Basin_Name,Event_Type,Omitted_Model,Retained_Model_Count,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,Pooled_DIndex
SWRB,Flood,miroc-integ-land,6,0.14858244538452398,0.029307116358302836,0.8352510621130663
SWRB,Flood,watergap2-2e,6,0.199815919053028,0.038445296834088705,0.8386422368787738
SWRB,Flood,web-dhm-sg,6,0.19767966116804528,0.03323348091596912,0.8560780013816728
YHH,Drought,h08,6,0.2337245047429882,0.2454431505283108,0.4877718731049494
YHH,Drought,hydropy,6,0.2811837320015232,0.29618372018027067,0.4870100157862514
YHH,Drought,jules-w2,6,0.2872274682661203,0.3188607689307504,0.4739037167171132
YHH,Drought,lpjml5-7-10-fire,6,0.28593140753749186,0.27831540352051604,0.5067488232699935
YHH,Drought,miroc-integ-land,6,0.25174520375013626,0.25391694980352225,0.4978525720798724
YHH,Drought,watergap2-2e,6,0.24955046335044173,0.24331275177187286,0.5063280352308509
YHH,Drought,web-dhm-sg,6,0.28491237106449,0.3062815242558962,0.48192711954525036
YHH,Flood,h08,6,0.0933714364216025,0.0825501450694226,0.5307560086160662
YHH,Flood,hydropy,6,0.10371859219413786,0.0948899905176922,0.5222261333218803
YHH,Flood,jules-w2,6,0.10875069655271759,0.10337539676485386,0.5126700579447726
YHH,Flood,lpjml5-7-10-fire,6,0.10641045566812678,0.09007858507298117,0.5415592404887973
YHH,Flood,miroc-integ-land,6,0.10069441740216074,0.08185205761820637,0.5516097606975212
YHH,Flood,watergap2-2e,6,0.10086463798149992,0.08892953060302904,0.5314422394204259
YHH,Flood,web-dhm-sg,6,0.1030841424565046,0.0952641111761537,0.5197128816037716
YZR,Drought,h08,6,0.1696604756992407,0.06765321331070188,0.7149207296344904
YZR,Drought,hydropy,6,0.17171625165038648,0.07666808574940269,0.6913328491160017
YZR,Drought,jules-w2,6,0.16982438085539162,0.07963550390149478,0.6807682967579963
YZR,Drought,lpjml5-7-10-fire,6,0.177633618293629,0.060142127492293605,0.7470636574243297
YZR,Drought,miroc-integ-land,6,0.14226083729099848,0.06353286745057411,0.6912788584550916
YZR,Drought,watergap2-2e,6,0.17514416105559952,0.07253597077119377,0.7071385167788939
YZR,Drought,web-dhm-sg,6,0.17656578924039157,0.07479300017700517,0.7024452562396504
YZR,Flood,h08,6,0.0762520333368951,0.033305752553796995,0.6959983055241115
YZR,Flood,hydropy,6,0.09181558338853678,0.03853337666920376,0.7043829375229792
YZR,Flood,jules-w2,6,0.09147075364133543,0.039250100289305305,0.6997410963201707
YZR,Flood,lpjml5-7-10-fire,6,0.09158160005514727,0.031198004784864494,0.7459023848014732
YZR,Flood,miroc-integ-land,6,0.08672532625601986,0.033144765921831444,0.7234942818542716
YZR,Flood,watergap2-2e,6,0.09179846087490236,0.03682611000351194,0.7136930389581414
YZR,Flood,web-dhm-sg,6,0.09054253492521948,0.035262595758221396,0.7197046291621328
