Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
miroc-integ-land,Drought,YHH,0.07911229757100424,-0.09532190231487078,0.174434199885875,0.363803928212374,0.41881257017000584,0.46485594025213417,2.7755575615628914e-17,576
miroc-integ-land,Drought,YZR,0.16908189757214961,0.16397244451929918,0.005109453052850458,0.32924049033964653,0.11376356414922137,0.743199722448409,-2.6020852139652106e-17,675
miroc-integ-land,Flood,CSL,0.06060385224983605,0.02762577518559819,0.032978077064237867,0.12361581393194353,0.06129931401860411,0.6685002752452056,-6.938893903907228e-18,1987
miroc-integ-land,Flood,PSE,-0.010991239994721229,0.005766761492802902,-0.016758001487524134,0.09438233273808827,0.0934683479452128,0.5024327428294401,3.469446951953614e-18,271
miroc-integ-land,Flood,SWRB,-0.3552151597121748,-0.3419957056281104,-0.013219454084064403,0.4223623052906296,0.07372792730745127,0.8513820219331275,-3.8163916471489756e-17,314
miroc-integ-land,Flood,YHH,0.045081468253583966,0.011357631085367007,0.033723837168216954,0.11272787426378547,0.1458274711131007,0.43599127335567706,6.938893903907228e-18,576
miroc-integ-land,Flood,YZR,0.017075366311736114,0.00471577428265975,0.012359592029076362,0.0998343349419371,0.04865211044974668,0.6723464534327689,3.469446951953614e-18,675
watergap2-2e,Drought,CSL,0.15352545831734607,0.09197524127911665,0.06155021703822941,0.33440266264011204,0.17351584314933152,0.6583785761465007,1.3877787807814457e-17,1946
watergap2-2e,Drought,PSE,-0.02020830489649377,0.004491486601468694,-0.024699791497962465,0.10175191852785732,0.07479393026921366,0.5763484059306042,0.0,271
watergap2-2e,Drought,SWRB,0.18370904755754375,0.21054331184867367,-0.02683426429112993,0.24344402810966045,0.034081444517201444,0.8771952563683242,6.938893903907228e-18,314
watergap2-2e,Drought,YHH,0.40718095281539973,0.12404982878124214,0.28313112403415763,0.3769723706105412,0.482437758359902,0.4386408280551066,-5.551115123125783e-17,575
watergap2-2e,Drought,YZR,0.005419589587780831,0.03970025776883745,-0.03428066818105662,0.1319405477520402,0.05974494422550344,0.6883178606312955,6.938893903907228e-18,675
watergap2-2e,Flood,CSL,-0.06962296545085102,-0.10336477421870488,0.033741808767853855,0.26529704509216695,0.10914054707689318,0.7085213948614012,6.938893903907228e-18,1946
watergap2-2e,Flood,PSE,0.007183024000689259,0.0007878294008962756,0.0063951945997929825,0.05358956345676262,0.03288891961842342,0.6196866729284651,8.673617379884035e-19,271
watergap2-2e,Flood,SWRB,-0.04687878088197778,-0.056951110383601296,0.010072329501623517,0.11496146327960535,0.01889884445273605,0.8588166666214082,1.734723475976807e-18,314
watergap2-2e,Flood,YHH,0.02496884314866736,0.00824594925180108,0.016722893896866278,0.11170655078775045,0.10336263320416468,0.5193982174217471,0.0,575
watergap2-2e,Flood,YZR,0.0025340204276859822,-0.013495133293862262,0.016029153721548246,0.0693955272286421,0.026564045959663666,0.7231746132557734,0.0,675
web-dhm-sg,Drought,CSL,0.02208465907846096,0.009911152308871718,0.012173506769589258,0.24763868035821598,0.12174681192277033,0.670407164149914,-1.5612511283791264e-17,647
web-dhm-sg,Drought,PSE,0.0022166049557393063,0.005851977676344724,-0.003635372720605416,0.11626423118191334,0.029560142034670955,0.7972894284910313,-1.3010426069826053e-18,239
web-dhm-sg,Drought,SWRB,0.18027390546520167,0.15760767610105864,0.022666229364143028,0.2250313095269951,0.06274117577209615,0.7819764606512425,3.469446951953614e-18,133
web-dhm-sg,Drought,YHH,0.019349226659197367,0.009632560516160628,0.009716666143036748,0.16480092432625149,0.10462512345576204,0.6116740592935845,-8.673617379884035e-18,292
web-dhm-sg,Drought,YZR,0.01808735779504673,0.02602876052566602,-0.007941402730619284,0.12341077864328794,0.04620276779063495,0.7275997774821932,-3.469446951953614e-18,532
web-dhm-sg,Flood,CSL,-0.020675253546923764,-0.021884200492342888,0.0012089469454191247,0.13330367453773453,0.0790806890470339,0.6276529603580226,-8.673617379884035e-19,647
web-dhm-sg,Flood,PSE,-0.004208391938513106,-0.005666737026964558,0.001458345088451449,0.0629022747159356,0.01643201051063664,0.7928763022984557,2.6020852139652106e-18,239
web-dhm-sg,Flood,SWRB,-0.07244910842300442,-0.05106440987072837,-0.02138469855227605,0.12777901058950178,0.05016973996145352,0.7180663544637392,-3.469446951953614e-18,133
web-dhm-sg,Flood,YHH,-0.005595989559304633,0.001267326515953232,-0.0068633160752578646,0.09838952393772239,0.0653551497654167,0.6008715991342575,-8.673617379884035e-19,292
web-dhm-sg,Flood,YZR,-0.015636766899193296,-0.02566278220110565,0.010026015301912354,0.07693108292673942,0.035945131431406964,0.6815526491936008,1.734723475976807e-18,532
