Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
jules-w2,Flood,SWRB,-0.03293061738664107,-0.0324351101113993,-0.000495507275241768,0.1456051959532672,0.027829641957580895,0.8395383402042538,1.951563910473908e-18,314
jules-w2,Flood,YHH,0.021368243150633053,0.022430909508035314,-0.0010626663574022602,0.06475585238679261,0.016779184209325552,0.7942089080987254,-6.505213034913027e-19,568
jules-w2,Flood,YZR,0.008438178207566338,0.008568666017891682,-0.00013048781032534156,0.07181696517685858,0.012095107581963168,0.8558597447982644,-2.032879073410321e-18,675
lpjml5-7-10-fire,Drought,CSL,0.07059545725895391,-0.004888031790344242,0.07548348904929815,0.22601726671002814,0.23079536129985165,0.49477018114556137,0.0,1208
lpjml5-7-10-fire,Drought,PSE,-0.06167988976500776,-0.03869893823907412,-0.022980951525933643,0.10801716454099389,0.07417277926723449,0.5928821442235684,0.0,271
lpjml5-7-10-fire,Drought,SWRB,0.18523545806244793,0.18012874207788895,0.005106715984558995,0.24467571776078165,0.08825525062748767,0.7349142644953263,-2.0816681711721685e-17,176
lpjml5-7-10-fire,Drought,YHH,0.03512229301513917,-0.06619792378332578,0.10132021679846495,0.16060785382288922,0.2757263667333067,0.3680844780364972,0.0,543
lpjml5-7-10-fire,Drought,YZR,-0.05637829384725118,-0.013788845580522638,-0.04258944826672855,0.11822060545468753,0.1354200125135901,0.46609492754615967,6.938893903907228e-18,589
lpjml5-7-10-fire,Flood,CSL,0.0008644800421203677,0.022833723303645,-0.02196924326152463,0.13698419263196204,0.11386956825055589,0.5460719111806169,-3.469446951953614e-18,1208
lpjml5-7-10-fire,Flood,PSE,0.010728908821373197,0.006054700141482455,0.0046742086798907435,0.054124457109341814,0.033830880046260524,0.6153629655650106,-8.673617379884035e-19,271
lpjml5-7-10-fire,Flood,SWRB,-0.06981738556664967,-0.06255211759207378,-0.0072652679745758885,0.11897090537473169,0.0621273692169046,0.6569411312338707,4.336808689942018e-18,176
lpjml5-7-10-fire,Flood,YHH,0.0006564384922638655,0.0021050008937955793,-0.0014485624015317137,0.0789623664207534,0.09709360697093924,0.4485071701888605,0.0,543
lpjml5-7-10-fire,Flood,YZR,0.0041847791982793725,-0.004245056886552464,0.008429836084831837,0.07117362596626932,0.06072453064224204,0.5396104676240524,-1.734723475976807e-18,589
miroc-integ-land,Drought,CSL,0.22380276418475112,0.24075821698297123,-0.016955452798220107,0.49085509898413043,0.08252667913922816,0.8560702793706968,-3.469446951953614e-18,1987
miroc-integ-land,Drought,PSE,0.047278236758313566,0.016437398733964763,0.0308408380243488,0.15595339972214003,0.13484378597080826,0.536296110811783,3.469446951953614e-18,271
miroc-integ-land,Drought,SWRB,2.540096974383818,2.535134279764259,0.004962694619559214,2.6068837165786074,0.09673856865169661,0.9642189039570459,-9.80118763926896e-17,307
miroc-integ-land,Drought,YHH,0.07512793554517276,0.0034131353146244223,0.07171480023054834,0.2696097491592255,0.3194401978977091,0.4577026965307007,0.0,575
miroc-integ-land,Drought,YZR,0.1841932109808563,0.17859121278967463,0.005601998191181643,0.34551243315583313,0.11538394492959066,0.7496531749524725,3.5561831257524545e-17,675
miroc-integ-land,Flood,CSL,0.049356719358672425,0.03296219627310339,0.01639452308556903,0.12601844525224018,0.04491406503891029,0.737240944028682,3.469446951953614e-18,1985
miroc-integ-land,Flood,PSE,-0.011420515991818822,0.0057114136603266755,-0.017131929652145505,0.09502833363527462,0.09443873445666942,0.501555941052297,6.938893903907228e-18,271
miroc-integ-land,Flood,SWRB,-0.36939836856599034,-0.3539906683904381,-0.0154077001755523,0.4351660995169289,0.07662094766017535,0.8502874426330282,3.642919299551295e-17,314
miroc-integ-land,Flood,YHH,0.04596132503069897,0.009484594875719638,0.036476730154979334,0.11562734557397057,0.14944976945017235,0.4362026709225327,0.0,576
miroc-integ-land,Flood,YZR,0.017140711093679886,0.004712672716376195,0.012428038377303692,0.1004357784069081,0.048949210458729256,0.6723284526080725,-1.734723475976807e-18,675
watergap2-2e,Drought,CSL,0.12597447450192323,0.08991174969360255,0.036062724808320706,0.3147564783370354,0.15051904002941496,0.6764948206218184,-2.7755575615628914e-17,1942
watergap2-2e,Drought,PSE,-0.020313047170857204,0.004559532860800108,-0.02487258003165731,0.10267214942042747,0.07554821783781368,0.5760966100561089,-3.469446951953614e-18,271
watergap2-2e,Drought,SWRB,0.18565908584675567,0.21266929201139634,-0.02701020616464066,0.24586356708164503,0.034325315623928786,0.8774922284836039,-1.0408340855860843e-17,314
watergap2-2e,Drought,YHH,0.09803249592858973,-0.06641195129543832,0.164444447224028,0.19539866786859128,0.36745706986438575,0.3471558603197359,5.551115123125783e-17,572
watergap2-2e,Drought,YZR,0.005541719558977865,0.03997727652983723,-0.03443555697085937,0.13291341777742086,0.06027880247374812,0.6879853526431876,6.938893903907228e-18,675
watergap2-2e,Flood,CSL,-0.057369317748353015,-0.08987255266877595,0.032503234920422924,0.2553218095220372,0.10962562144400943,0.6996125684353465,6.938893903907228e-18,1945
