Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
hydropy,Drought,YZR,0.055556486761322445,0.04347611312447934,0.012080373636843094,0.175799758418965,0.04376468587565001,0.8006749862608634,1.0408340855860843e-17,672
hydropy,Flood,CSL,0.18190593250470394,0.18888581375890093,-0.00697988125419701,0.2842474228050951,0.04085213050885077,0.8743396289154534,1.9949319973733282e-17,1986
hydropy,Flood,PSE,-0.001541050095042241,-0.0021913027752177594,0.0006502526801755182,0.06950237128061419,0.017893051956014438,0.795263283895681,2.168404344971009e-19,271
hydropy,Flood,SWRB,0.1642297225611458,0.16415376921185643,7.595334928934569e-05,0.2244359024107833,0.005932656487613366,0.9742471085638472,1.9231036034461635e-17,312
hydropy,Flood,YHH,-0.00738811799526903,0.030626531518306938,-0.03801464951357597,0.10919887870806913,0.08120934757246757,0.5734987444669627,0.0,576
hydropy,Flood,YZR,0.04523419649437174,0.046817859982362785,-0.0015836634879910372,0.1071045840907043,0.01945703019390082,0.8462643645635961,-5.204170427930421e-18,672
jules-w2,Drought,CSL,-0.06680370876815822,-0.06576627011720082,-0.0010374386509574205,0.39000893274521437,0.02720278611390802,0.9347986049186374,1.973247953923618e-17,1556
jules-w2,Drought,PSE,-0.021471869002895203,-0.02149258862467835,2.071962178315324e-05,0.12287970136788921,0.0076787979679776314,0.9411850013056321,-5.061868892791699e-18,271
jules-w2,Drought,SWRB,0.18087128390802704,0.18282560694895117,-0.0019543230409241213,0.29828590291895796,0.020918887143870905,0.9344656227127623,-1.1709383462843448e-17,314
jules-w2,Drought,YHH,-0.08225412946613363,-0.081713384788628,-0.0005407446775056187,0.13474559988883722,0.020859010513911865,0.865948634427201,-1.2034644114589099e-17,572
jules-w2,Drought,YZR,-0.03551782962150346,-0.036286559661257524,0.0007687300397540589,0.16312574786451783,0.012802310530142092,0.9272298537995421,4.445228907190568e-18,675
jules-w2,Flood,CSL,0.028567041229258006,0.02735532824451486,0.0012117129847431414,0.225337944530696,0.02199027823716178,0.9110886821121024,3.469446951953614e-18,1586
jules-w2,Flood,PSE,-0.006725513695328818,-0.00672721629776413,1.702602435313027e-06,0.06599267059464356,0.005871504752511397,0.9182971943371246,-1.1943164556285635e-18,271
jules-w2,Flood,SWRB,0.21898158382202973,0.21837488444283606,0.0006066993791936563,0.2691970848217713,0.01707296668985295,0.9403606259205227,8.456776945386935e-18,314
jules-w2,Flood,YHH,0.04964405249038762,0.050837935086115775,-0.0011938825957281511,0.08355884364344981,0.01168150057912848,0.8773471402851232,-3.469446951953614e-18,572
jules-w2,Flood,YZR,0.05438264107878063,0.05484129961579991,-0.0004586585370192698,0.11436501966482016,0.00957940028870435,0.9227121294181994,-7.15573433840433e-18,675
lpjml5-7-10-fire,Drought,CSL,0.019335293975930486,0.00011170072185772613,0.01922359325407276,0.20479193808461088,0.206781619118255,0.4975828366535907,0.0,1375
lpjml5-7-10-fire,Drought,PSE,-0.03923376064428266,-0.024433608905919158,-0.014800151738363495,0.11274401365096316,0.06615848426787008,0.6301980965191124,-8.673617379884035e-18,271
