Basin_Name,Event_Type,Omitted_Model,Retained_Model_Count,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,Pooled_DIndex
YZR,Drought,miroc-integ-land,6,0.17267737867260136,0.07106430361939607,0.7084441899672189
YZR,Drought,watergap2-2e,6,0.20803973782754856,0.08255508432030527,0.7159099955390759
YZR,Drought,web-dhm-sg,6,0.21553182030673457,0.08764023047546342,0.7109224605324022
YZR,Flood,h08,6,0.1174669775510258,0.046053299119111706,0.7183633732958203
YZR,Flood,hydropy,6,0.13114625293972706,0.053671734993264296,0.7095968006494918
YZR,Flood,jules-w2,6,0.12993653970019015,0.0553026364008008,0.7014528051525654
YZR,Flood,lpjml5-7-10-fire,6,0.1326894126126147,0.04348459778413894,0.7531724589443743
YZR,Flood,miroc-integ-land,6,0.11650693094141269,0.04048008750872639,0.7421437268611906
YZR,Flood,watergap2-2e,6,0.13021027501213228,0.051330235199764186,0.7172518952389698
YZR,Flood,web-dhm-sg,6,0.13529783002500118,0.051008623681041365,0.7262111823483923
