Grid_ID,Lon,Lat,Event_Type,Delta_Total_mean_ScenarioSpecific,Delta_HA_mean_ScenarioSpecific,Delta_CC_mean_ScenarioSpecific,Delta_Total_mean_CommonReference,Delta_HA_mean_CommonReference,Delta_CC_mean_CommonReference
748,125.75,51.75,Drought,-0.1856421836491603,-0.0071543276026586,-0.1784878560465016,-0.1227925193940252,0.0216720533597953,-0.1444645727538205
749,126.25,51.75,Drought,-0.20616965739154,0.0020372245703098,-0.2082068819618499,-0.1759239710388845,0.0167187824802171,-0.1926427535191016
865,120.25,51.25,Drought,-0.1788142628744663,-0.0199630639345704,-0.1588511989398959,-0.018530729037394,-0.0110512035026827,-0.0074795255347113
866,120.75,51.25,Drought,-0.1500109265501554,0.0466512209989384,-0.1966621475490938,-0.2076905540690778,0.033256781740756,-0.2409473358098338
867,121.25,51.25,Drought,-0.2143148482962358,0.0299807878184665,-0.2442956361147023,-0.2035830788362559,0.0271055110402331,-0.230688589876489
868,121.75,51.25,Drought,-0.1936043966807354,0.0334409660724672,-0.2270453627532027,-0.1549440041334766,0.033487280177918,-0.1884312843113947
869,122.25,51.25,Drought,-0.2151371105451705,-0.0005602460367147,-0.2145768645084558,-0.1521435900521774,0.0050340041637676,-0.157177594215945
870,122.75,51.25,Drought,-0.3254321877913169,-0.017063565385666,-0.3083686224056508,-0.226136767429731,0.0191290263485716,-0.2452657937783027
871,123.25,51.25,Drought,-0.3311130536143854,0.0231924784908286,-0.354305532105214,-0.3297394744457465,-0.0024990131448539,-0.3272404613008925
872,123.75,51.25,Drought,-0.4952276346067523,-0.0160227626280817,-0.4792048719786705,-0.3635195522255974,0.0092162344788337,-0.3727357867044312
873,124.25,51.25,Drought,-0.5099570970070811,-0.038082232666366,-0.4718748643407149,-0.3499417469247787,0.0162538258933461,-0.3661955728181248
874,124.75,51.25,Drought,-0.3501175077954857,-0.0157618810105516,-0.3343556267849341,-0.3045260725097112,0.0069494097222348,-0.311475482231946
875,125.25,51.25,Drought,-0.3954045344195858,-0.0267443582753148,-0.368660176144271,-0.3680835296130915,0.0263971666128106,-0.3944806962259021
876,125.75,51.25,Drought,-0.1831414093018798,0.0110743523243083,-0.1942157616261881,-0.2332375182157829,0.036815018532096,-0.270052536747879
877,126.25,51.25,Drought,-0.0820139134229722,0.0228976561552078,-0.1049115695781801,0.0738852983788055,0.0630032267143514,0.010882071664454
878,126.75,51.25,Drought,-0.0536372253446615,0.0530840725355894,-0.106721297880251,-0.0633621196395095,0.0408610007817994,-0.1042231204213089
992,119.75,50.75,Drought,-0.2204895188900816,-0.0264895769672977,-0.1939999419227839,-0.1341627128423411,0.0288358445609432,-0.1629985574032844
